"id","title","year","venue","quality_status","evidence_role","decentralized_execution","project_decision","main_limit","official_url"
"C01","Multi-Agent Common Knowledge Reinforcement Learning","2019","NeurIPS","正式录用高水平会议","公共知识与去中心化协调","yes","支持显式可共同重建的site commitment","依赖可形成公共知识的观测或通信条件","https://proceedings.neurips.cc/paper_files/paper/2019/hash/f968fdc88852a4a3a27a81fe3f57bfc5-Abstract.html"
"C02","Multi-Agent Coordination via Multi-Level Communication","2024","NeurIPS","正式录用高水平会议","同时动作循环依赖与分阶段通信","yes","支持proposal/commit而非隐式同时猜测","基准任务不是连续多机器人地形控制","https://proceedings.neurips.cc/paper_files/paper/2024/hash/d6be51e667e0b263e89a23294b57f8cf-Abstract-Conference.html"
"C03","Learning to Communicate with Deep Multi-Agent Reinforcement Learning","2016","NeurIPS","正式录用高水平会议","CTDE下有限带宽学习通信","yes","证明学习式消息可作为后置候选","不提供候选同址关联或一致commit保证","https://proceedings.neurips.cc/paper_files/paper/2016/hash/c7635bfd99248a2cdef8249ef7bfbef4-Abstract.html"
"C04","Learning to Ground Multi-Agent Communication with Autoencoders","2021","NeurIPS","正式录用高水平会议","通信表征的共同语义grounding","yes","支持先建立共同语义再学习编码","图像MARL任务与月面候选共识不同","https://proceedings.neurips.cc/paper/2021/hash/80fee67c8a4c4989bf8a580b4bbb0cd2-Abstract.html"
"C05","Fully Decentralized Policies for Multi-Agent Systems: An Information Theoretic Approach","2017","NeurIPS","正式录用高水平会议","局部信息对重建集中最优决策的限制","yes","支持先做信息可辨识性审计","主要研究静态优化重建且无本项目通信协议","https://proceedings.neurips.cc/paper/2017/hash/8bb88f80d334b1869781beb89f7b73be-Abstract.html"
"C06","Fully Decentralized Multi-Agent Reinforcement Learning with Networked Agents","2018","ICML","正式录用高水平会议","邻居通信与去中心化学习","yes","支持时间联合图上的局部一致学习原则","理论设置与本项目非凸地形目标不同","https://proceedings.mlr.press/v80/zhang18n.html"
"M01","Riemannian Optimization for Active Mapping With Robot Teams","2025","IEEE Transactions on Robotics","正式高水平机器人期刊","一跳通信下分布式地图与轨迹一致优化","yes","支持local belief和一跳共识；不照搬完整算法","完整流形优化对本项目过重","https://doi.org/10.1109/TRO.2025.3526295"
"M02","iMESA: Incremental Distributed Optimization for Collaborative Simultaneous Localization and Mapping","2024","Robotics: Science and Systems","正式高水平机器人会议","稀疏两两通信下完全分布式一致估计","yes","支持候选belief的版本化局部复制","研究对象是SLAM后端而非共同选址","https://doi.org/10.15607/RSS.2024.XX.085"
"M03","RAMEN: Real-time Asynchronous Multi-agent Neural Implicit Mapping","2025","Robotics: Science and Systems","正式高水平机器人会议","陈旧消息与异步频率下的不确定度加权共识","yes","支持消息年龄和不确定度进入belief融合","神经隐式全图明显超过首轮需要","https://doi.org/10.15607/RSS.2025.XXI.041"
"M04","RACER: Rapid Collaborative Exploration with a Decentralized Multi-UAV System","2023","IEEE Transactions on Robotics","正式高水平机器人期刊","有限异步通信下空间分解与层级规划","yes","支持共同探索任务的显式分解","无人机探索系统不能直接证明集合有效","https://doi.org/10.1109/TRO.2023.3236945"
"M05","Consistent Data Association in Multi-Robot Systems with Limited Communications","2010","Robotics: Science and Systems","正式高水平机器人会议","有限通信下跨机器人一致数据关联","yes","直接支持同一平地候选的关联独立于评分","一般特征关联不含地形容量语义","https://doi.org/10.15607/RSS.2010.VI.013"
"M06","Recursive Decentralized Collaborative Localization for Sparsely Communicating Robots","2016","Robotics: Science and Systems","正式高水平机器人会议","稀疏通信下去中心化状态相关性维护","yes","支持本地副本与稀疏交换的工程可行性","研究定位而非站点选择","https://doi.org/10.15607/RSS.2016.XII.016"
"M07","Active Neural SLAM","2020","ICLR","正式录用高水平会议","地图、高层目标与低层策略分解","single-agent decentralized not applicable","支持把共同选址与局部运动分开验证","单机器人室内导航且含显式规划器","https://iclr.cc/virtual_2020/poster_HklXn1BKDH.html"
"S01","Digital Terrain Map Based Safe Landing Site Selection for Planetary Landing","2020","IEEE Transactions on Aerospace and Electronic Systems","正式航天期刊；分区未实时核验","区域检测、可行筛选和站点选择","not multi-agent","支持平地应作为有容量的候选区域","着陆器单体任务不支持多车共识结论","https://ieeexplore.ieee.org/document/8701525"
