"id","title","year","venue","quality_status","evidence_set","problem_type","credit_scope","training_regime","action_support","ctde","project_score","project_decision","official_url"
"E01","Difference Advantage Estimation for Multi-Agent Policy Gradients","2022","ICML","正式录用高水平会议","core","空间信用与多步优势","individual","on-policy MAPPO","discrete verified","yes","92","唯一优先候选；先做离线reward-model gate","https://proceedings.mlr.press/v162/li22w.html"
"E02","Counterfactual Multi-Agent Policy Gradients","2018","AAAI","正式录用高水平会议","core","反事实空间信用","individual","on-policy actor-critic","discrete verified","yes","82","理论对照；exp127联合Q可辨识性失败后不首用","https://ojs.aaai.org/index.php/AAAI/article/view/11794"
"E03","The Surprising Effectiveness of PPO in Cooperative Multi-Agent Games","2022","NeurIPS Datasets and Benchmarks","正式录用高水平会议","core","强基线与优化实践","team","on-policy MAPPO","discrete and continuous","yes","baseline","保留为唯一对照主体","https://proceedings.neurips.cc/paper_files/paper/2022/hash/9c1535a02f0ce079433344e14d910597-Abstract-Datasets_and_Benchmarks.html"
"E04","Trust Region Policy Optimisation in Multi-Agent Reinforcement Learning","2022","ICLR","正式录用高水平会议","core","联合策略非平稳性","sequential agents","on-policy HAPPO/HATRPO","discrete and continuous","yes","70","共享Actor不适合顺序独立更新；不作为信用候选","https://openreview.net/forum?id=EcGGFkNTxdJ"
"E05","Settling the Variance of Multi-Agent Policy Gradients","2021","NeurIPS","正式录用高水平会议","core","低方差反事实baseline","individual","on-policy policy gradient","discrete and continuous","yes","78","需要联合Q critic；作为DAE后的理论备选","https://proceedings.neurips.cc/paper_files/paper/2021/hash/6fe6a8a6e6cb710584efc4af0c34ce50-Abstract.html"
"E06","Learning Implicit Credit Assignment for Cooperative Multi-Agent Reinforcement Learning","2020","NeurIPS","正式录用高水平会议","core","隐式空间信用","joint policy","on-policy actor-critic","discrete","yes","74","同时改变mixing critic与entropy；暂缓","https://proceedings.neurips.cc/paper_files/paper/2020/hash/8977ecbb8cb82d77fb091c7a7f186163-Abstract.html"
"E07","Multi-level Advantage Credit Assignment for Cooperative Multi-Agent Reinforcement Learning","2025","AISTATS","正式录用机器学习会议","core","多层反事实信用","individual pair group","policy gradient","discrete","yes","77","仅在车辆对或子团队信用得到证实时考虑","https://proceedings.mlr.press/v258/zhao25c.html"
"E08","Learning Explicit Credit Assignment for Cooperative Multi-Agent Reinforcement Learning via Polarization Policy Gradient","2023","AAAI","正式录用高水平会议","core","显式信用与CD mismatch","individual-global consistency","policy gradient","discrete and continuous","yes","76","改变策略梯度约束；非首轮最小改造","https://ojs.aaai.org/index.php/AAAI/article/view/26364"
"E09","Learning Cooperative Multi-Agent Policies with Partial Reward Decoupling","2022","IEEE Robotics and Automation Letters","正式机器人期刊；JCR/CAS分区未在当前环境核验","core-domain","局部奖励依赖","subteam","actor-critic","continuous and discrete tasks","yes","79","机器人领域强相关；当前单一混合奖励不满足直接分解条件","https://doi.org/10.1109/LRA.2021.3135930"
"E10","Assigning Credit with Partial Reward Decoupling in Multi-Agent Proximal Policy Optimization","2024","Reinforcement Learning Conference / RLJ","正式发表状态由官方页面记录；不作为顶会核心证据","adjacent","学习奖励依赖","subteam","on-policy MAPPO","mixed","yes","73","DAE失败后才重新审议","https://rlj.cs.umass.edu/2024/papers/Paper45.html"
"E11","Actor-Attention-Critic for Multi-Agent Reinforcement Learning","2019","ICML","正式录用高水平会议","core","相关智能体选择","individual-neighbor","off-policy actor-critic","discrete and continuous","yes","68","会引入attention critic和off-policy；暂缓","https://proceedings.mlr.press/v97/iqbal19a.html"
"E12","Credit Assignment for Collective Multiagent RL with Global Rewards","2018","NeurIPS","正式录用高水平会议","core","差分奖励","individual in anonymous collective","collective actor-critic","discrete count model","yes","45","依赖大规模匿名群体；四车不适用","https://proceedings.neurips.cc/paper/2018/hash/94bb077f18daa6620efa5cf6e6f178d2-Abstract.html"
"E13","Multiagent Model-Based Credit Assignment for Continuous Control","2022","AAMAS","正式录用多智能体会议","core-domain","博弈论与模型式信用","individual coalition","multi-agent PPO plus model","continuous","yes","62","需要world model且任务对象为机器人部件；不首用","https://www.ifaamas.org/Proceedings/aamas2022/pdfs/p571.pdf"
"E14","FACMAC: Factored Multi-Agent Centralised Policy Gradients","2021","NeurIPS","正式录用高水平会议","core","分解联合动作价值","individual utilities","off-policy deterministic actor-critic","discrete and continuous","yes","68","会替换MAPPO并引入replay/target；暂缓","https://proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract.html"
"E15","DOP: Off-Policy Multi-Agent Decomposed Policy Gradients","2021","ICLR","正式录用高水平会议","core","分解策略梯度","individual utilities","off-policy actor-critic","discrete and continuous","yes","73","DAE正式失败后才允许重新评估","https://openreview.net/forum?id=6FqKiVAdI3Y"
